signal_date,execution_date,sector_code,sector_name,n_holdings,sector_weight,tickers
2017-03-31,2017-04-03,01,반도체/IT하드웨어,1,0.2,005930
2017-03-31,2017-04-03,02,자동차/운송장비,1,0.2,005380
2017-03-31,2017-04-03,04,철강금속,1,0.2,005490
2017-03-31,2017-04-03,08,인터넷/게임/SW,1,0.2,035420
2017-03-31,2017-04-03,11,에너지/유틸리티,1,0.2,015760
2017-06-30,2017-07-03,01,반도체/IT하드웨어,1,0.2,005930
2017-06-30,2017-07-03,02,자동차/운송장비,1,0.2,005380
2017-06-30,2017-07-03,08,인터넷/게임/SW,1,0.2,035420
2017-06-30,2017-07-03,09,소비재/유통,1,0.2,028260
2017-06-30,2017-07-03,11,에너지/유틸리티,1,0.2,015760
2017-12-28,2018-01-02,01,반도체/IT하드웨어,1,0.2,005930
2017-12-28,2018-01-02,02,자동차/운송장비,1,0.2,005380
2017-12-28,2018-01-02,03,2차전지/화학/소재,1,0.2,051910
2017-12-28,2018-01-02,04,철강금속,1,0.2,005490
2017-12-28,2018-01-02,08,인터넷/게임/SW,1,0.2,035420
2019-06-28,2019-07-01,01,반도체/IT하드웨어,1,0.2,005930
2019-06-28,2019-07-01,02,자동차/운송장비,1,0.2,005380
2019-06-28,2019-07-01,03,2차전지/화학/소재,1,0.2,051910
2019-06-28,2019-07-01,04,철강금속,1,0.2,005490
2019-06-28,2019-07-01,06,금융,1,0.2,068270
2019-09-30,2019-10-01,01,반도체/IT하드웨어,1,0.2,005930
2019-09-30,2019-10-01,02,자동차/운송장비,1,0.2,005380
2019-09-30,2019-10-01,03,2차전지/화학/소재,1,0.2,051910
2019-09-30,2019-10-01,06,금융,1,0.2,068270
2019-09-30,2019-10-01,08,인터넷/게임/SW,1,0.2,035420
2019-12-30,2020-01-02,01,반도체/IT하드웨어,1,0.2,005930
2019-12-30,2020-01-02,02,자동차/운송장비,1,0.2,005380
2019-12-30,2020-01-02,06,금융,1,0.2,068270
2019-12-30,2020-01-02,07,헬스케어,1,0.2,207940
2019-12-30,2020-01-02,08,인터넷/게임/SW,1,0.2,035420
2020-03-31,2020-04-01,01,반도체/IT하드웨어,1,0.2,005930
2020-03-31,2020-04-01,03,2차전지/화학/소재,1,0.2,051910
2020-03-31,2020-04-01,06,금융,1,0.2,068270
2020-03-31,2020-04-01,07,헬스케어,1,0.2,207940
2020-03-31,2020-04-01,08,인터넷/게임/SW,1,0.2,035420
2020-06-30,2020-07-01,01,반도체/IT하드웨어,1,0.2,005930
2020-06-30,2020-07-01,03,2차전지/화학/소재,1,0.2,051910
2020-06-30,2020-07-01,06,금융,1,0.2,068270
2020-06-30,2020-07-01,07,헬스케어,1,0.2,207940
2020-06-30,2020-07-01,08,인터넷/게임/SW,1,0.2,035420
2020-09-29,2020-10-05,01,반도체/IT하드웨어,1,0.2,005930
2020-09-29,2020-10-05,02,자동차/운송장비,1,0.2,005380
2020-09-29,2020-10-05,03,2차전지/화학/소재,1,0.2,051910
2020-09-29,2020-10-05,07,헬스케어,1,0.2,207940
2020-09-29,2020-10-05,08,인터넷/게임/SW,1,0.2,035420
2020-12-30,2021-01-04,01,반도체/IT하드웨어,1,0.2,005930
2020-12-30,2021-01-04,03,2차전지/화학/소재,1,0.2,051910
2020-12-30,2021-01-04,06,금융,1,0.2,068270
2020-12-30,2021-01-04,07,헬스케어,1,0.2,207940
2020-12-30,2021-01-04,08,인터넷/게임/SW,1,0.2,035420
2021-03-31,2021-04-01,01,반도체/IT하드웨어,1,0.2,005930
2021-03-31,2021-04-01,02,자동차/운송장비,1,0.2,005380
2021-03-31,2021-04-01,03,2차전지/화학/소재,1,0.2,051910
2021-03-31,2021-04-01,07,헬스케어,1,0.2,207940
2021-03-31,2021-04-01,08,인터넷/게임/SW,1,0.2,035420
2021-06-30,2021-07-01,01,반도체/IT하드웨어,1,0.2,005930
2021-06-30,2021-07-01,02,자동차/운송장비,1,0.2,005380
2021-06-30,2021-07-01,03,2차전지/화학/소재,1,0.2,051910
2021-06-30,2021-07-01,07,헬스케어,1,0.2,207940
2021-06-30,2021-07-01,08,인터넷/게임/SW,1,0.2,035720
2021-09-30,2021-10-01,01,반도체/IT하드웨어,1,0.2,005930
2021-09-30,2021-10-01,02,자동차/운송장비,1,0.2,005380
2021-09-30,2021-10-01,03,2차전지/화학/소재,1,0.2,051910
2021-09-30,2021-10-01,07,헬스케어,1,0.2,207940
2021-09-30,2021-10-01,08,인터넷/게임/SW,1,0.2,035420
2021-12-30,2022-01-03,01,반도체/IT하드웨어,1,0.2,005930
2021-12-30,2022-01-03,02,자동차/운송장비,1,0.2,005380
2021-12-30,2022-01-03,03,2차전지/화학/소재,1,0.2,051910
2021-12-30,2022-01-03,07,헬스케어,1,0.2,207940
2021-12-30,2022-01-03,08,인터넷/게임/SW,1,0.2,035420
2023-09-27,2023-10-04,01,반도체/IT하드웨어,1,0.2,005930
2023-09-27,2023-10-04,02,자동차/운송장비,1,0.2,005380
2023-09-27,2023-10-04,03,2차전지/화학/소재,1,0.2,373220
2023-09-27,2023-10-04,04,철강금속,1,0.2,005490
2023-09-27,2023-10-04,07,헬스케어,1,0.2,207940
2023-12-28,2024-01-02,01,반도체/IT하드웨어,1,0.2,005930
2023-12-28,2024-01-02,02,자동차/운송장비,1,0.2,005380
2023-12-28,2024-01-02,03,2차전지/화학/소재,1,0.2,373220
2023-12-28,2024-01-02,04,철강금속,1,0.2,005490
2023-12-28,2024-01-02,07,헬스케어,1,0.2,207940
2024-03-29,2024-04-01,01,반도체/IT하드웨어,1,0.2,005930
2024-03-29,2024-04-01,02,자동차/운송장비,1,0.2,005380
2024-03-29,2024-04-01,03,2차전지/화학/소재,1,0.2,373220
2024-03-29,2024-04-01,06,금융,1,0.2,068270
2024-03-29,2024-04-01,07,헬스케어,1,0.2,207940
2024-09-30,2024-10-02,01,반도체/IT하드웨어,1,0.2,005930
2024-09-30,2024-10-02,02,자동차/운송장비,1,0.2,005380
2024-09-30,2024-10-02,03,2차전지/화학/소재,1,0.2,373220
2024-09-30,2024-10-02,06,금융,1,0.2,068270
2024-09-30,2024-10-02,07,헬스케어,1,0.2,207940
2025-06-30,2025-07-01,01,반도체/IT하드웨어,1,0.2,005930
2025-06-30,2025-07-01,03,2차전지/화학/소재,1,0.2,373220
2025-06-30,2025-07-01,05,조선/기계/산업재,1,0.2,034020
2025-06-30,2025-07-01,06,금융,1,0.2,105560
2025-06-30,2025-07-01,07,헬스케어,1,0.2,207940
2025-09-30,2025-10-01,01,반도체/IT하드웨어,1,0.2,005930
2025-09-30,2025-10-01,03,2차전지/화학/소재,1,0.2,373220
2025-09-30,2025-10-01,05,조선/기계/산업재,1,0.2,329180
2025-09-30,2025-10-01,06,금융,1,0.2,105560
2025-09-30,2025-10-01,07,헬스케어,1,0.2,207940
2025-12-30,2026-01-02,01,반도체/IT하드웨어,1,0.2,005930
2025-12-30,2026-01-02,02,자동차/운송장비,1,0.2,005380
2025-12-30,2026-01-02,03,2차전지/화학/소재,1,0.2,373220
2025-12-30,2026-01-02,05,조선/기계/산업재,1,0.2,329180
2025-12-30,2026-01-02,07,헬스케어,1,0.2,207940
2026-03-31,2026-04-01,01,반도체/IT하드웨어,1,0.2,005930
2026-03-31,2026-04-01,02,자동차/운송장비,1,0.2,005380
2026-03-31,2026-04-01,03,2차전지/화학/소재,1,0.2,373220
2026-03-31,2026-04-01,06,금융,1,0.2,402340
2026-03-31,2026-04-01,07,헬스케어,1,0.2,207940
